fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2018-12-04,1.2864,2.096,0.13,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-05,1.2871,2.0967,0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-06,1.2833,2.0929,-0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-07,1.2854,2.095,0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-10,1.2831,2.0927,-0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-11,1.2832,2.0928,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-12,1.285,2.0946,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-13,1.2877,2.0973,0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-14,1.2828,2.0924,-0.38,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-17,1.2776,2.0872,-0.41,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-18,1.2749,2.0845,-0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-19,1.2711,2.0807,-0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-20,1.2706,2.0802,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-21,1.2671,2.0767,-0.28,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-24,1.2693,2.0789,0.17,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-25,1.2678,2.0774,-0.12,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-26,1.2671,2.0767,-0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-27,1.2647,2.0743,-0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-28,1.265,2.0746,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-31,1.265,2.0746,,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-02,1.2627,2.0723,-0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-03,1.2637,2.0733,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-04,1.27,2.0796,0.5,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-07,1.2773,2.0869,0.57,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-08,1.2799,2.0895,0.2,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-09,1.285,2.0946,0.4,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-10,1.2898,2.0994,0.37,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-11,1.2907,2.1003,0.07,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-14,1.2873,2.0969,-0.26,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-15,1.2664,2.103,0.47,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-16,1.2653,2.1019,-0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-17,1.2628,2.0994,-0.2,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-18,1.2685,2.1051,0.45,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-21,1.2712,2.1078,0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-22,1.2679,2.1045,-0.26,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-23,1.2682,2.1048,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-24,1.2705,2.1071,0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-25,1.2725,2.1091,0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-28,1.2717,2.1083,-0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-29,1.2435,2.1081,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-30,1.243,2.1076,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-01-31,1.2441,2.1087,0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-01,1.2517,2.1163,0.61,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-11,1.2594,2.124,0.62,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-12,1.2646,2.1292,0.41,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-13,1.27,2.1346,0.43,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-14,1.2724,2.137,0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-15,1.2685,2.1331,-0.31,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-18,1.2807,2.1453,0.96,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-19,1.2795,2.1441,-0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-20,1.2812,2.1458,0.13,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-21,1.2816,2.1462,0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-22,1.29,2.1546,0.66,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-25,1.3087,2.1733,1.45,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-26,1.3032,2.1678,-0.42,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-27,1.2985,2.1631,-0.36,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-02-28,1.2987,2.1633,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-01,1.302,2.1666,0.25,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-04,1.3059,2.1705,0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-05,1.3137,2.1783,0.6,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-06,1.3156,2.1802,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-07,1.3103,2.1749,-0.4,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-08,1.3017,2.1663,-0.66,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-11,1.3137,2.1783,0.92,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-12,1.3175,2.1821,0.29,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-13,1.3126,2.1772,-0.37,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-14,1.3083,2.1729,-0.33,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-15,1.3122,2.1768,0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-18,1.3227,2.1873,0.8,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-19,1.3239,2.1885,0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-20,1.3227,2.1873,-0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-21,1.3256,2.1902,0.22,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-22,1.3257,2.1903,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-25,1.3203,2.1849,-0.41,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-26,1.3125,2.1771,-0.59,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-27,1.3154,2.18,0.22,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-28,1.3142,2.1788,-0.09,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-03-29,1.3257,2.1903,0.88,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-01,1.339,2.2036,1.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-02,1.3391,2.2037,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-03,1.3413,2.2059,0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-04,1.3456,2.2102,0.32,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-08,1.3434,2.208,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-09,1.3412,2.2058,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-10,1.3387,2.2033,-0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-11,1.3304,2.195,-0.62,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-12,1.3298,2.1944,-0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-15,1.3244,2.189,-0.41,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-16,1.329,2.1936,0.35,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-17,1.3315,2.1961,0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-18,1.3314,2.196,-0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-19,1.3333,2.1979,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-22,1.3259,2.1905,-0.56,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-23,1.322,2.1866,-0.29,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-24,1.3222,2.1868,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-25,1.3139,2.1785,-0.63,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-26,1.3099,2.1745,-0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-29,1.3092,2.1738,-0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-04-30,1.3121,2.1767,0.22,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-06,1.2961,2.1607,-1.22,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-07,1.2992,2.1638,0.24,东方财富基金历史净值接口
